desc	char	movie
(to Sam)	dorothy	sixteen candles
(cloying)	dong	sixteen candles
(disappointed)	helen	sixteen candles
(bullshitting)	sam	sixteen candles
(to Dong, excited)	dorothy	sixteen candles
(holds up three fingers)	dong	sixteen candles
(suspicious)	sam	sixteen candles
(lecherous)	dong	sixteen candles
(proud, cool)	geek	sixteen candles
(looks at the Geek, incredulous)	bryce	sixteen candles
(cool and confident)	geek	sixteen candles
(looking over his shoulder to DJ)	geek	sixteen candles
(with a laugh)	cliff	sixteen candles
(impatient with Geek's jive)	jake	sixteen candles
(mischievously)	caroline	sixteen candles
(pleasant)	caroline	sixteen candles
(clears her throat)	sam	sixteen candles
(introduces Randy)	sam	sixteen candles
(introduces the Geek)	sam	sixteen candles
(to Sam, with his eye on his buddies across the gym)	geek	sixteen candles
(to Randy and Jimmy)	sam	sixteen candles
(concerned)	geek	sixteen candles
(second thoughts)	sam	sixteen candles
(nervously)	geek	sixteen candles
(dead serious)	geek	sixteen candles
(laughs)	geek	sixteen candles
(crosses his heart)	geek	sixteen candles
(repulsed)	sam	sixteen candles
(misunderstands her)	geek	sixteen candles
(hopeful)	geek	sixteen candles
(laughs at herself)	sam	sixteen candles
(surprised)	geek	sixteen candles
(to herself)	sam	sixteen candles
(to the Geek)	sam	sixteen candles
(impatient)	sam	sixteen candles
(scared)	geek	sixteen candles
(suspicous)	sam	sixteen candles
(choked, cracking voice)	geek	sixteen candles
(not paying attention)	jake	sixteen candles
(snuggles him)	caroline	sixteen candles
(kisses his neck)	caroline	sixteen candles
(suspicious)	caroline	sixteen candles
(voice cracks)	jake	sixteen candles
(nervous chuckles)	jake	sixteen candles
(cold and serious)	caroline	sixteen candles
(sweet and conciliatory)	caroline	sixteen candles
(chirpy, cheerful)	sam	sixteen candles
(sultry)	sam	sixteen candles
(straight- forward)	sam	sixteen candles
(another try)	sam	sixteen candles
(a final ploy)	sam	sixteen candles
(incredulous)	jake	sixteen candles
(sighs)	jake	sixteen candles
(forces a smile)	sam	sixteen candles
(embarrassed)	lumberjack	sixteen candles
(stunned monotone)	sam	sixteen candles
(sniffles)	sam	sixteen candles
(changing the subject)	jim	sixteen candles
(jerks her thumb to Ginny)	irene	sixteen candles
(to Ginny)	rudy	sixteen candles
(drunk)	caroline	sixteen candles
(sees the bubbles)	caroline	sixteen candles
(to the phone)	jake	sixteen candles
(repeats after the operator)	jake	sixteen candles
(looks at Howard)	dorothy	sixteen candles
(sadly)	sam	sixteen candles
(fast)	megan	sixteen candles
(fast)	megan	sixteen candles
(flattered)	geek	sixteen candles
(hands him a beer)	rock	sixteen candles
(angry)	jake	sixteen candles
(stoned; drunk)	dong	sixteen candles
(whispers)	jim	sixteen candles
(shakes his head)	jim	sixteen candles
(pause)	jim	sixteen candles
(puzzled)	jake	sixteen candles
(matter-of- factly)	jake	sixteen candles
(serious)	geek	sixteen candles
(sexy; macho)	geek	sixteen candles
(refers to the panties)	jake	sixteen candles
(referring to the skirt)	jake	sixteen candles
(embarrassed)	geek	sixteen candles
(referring to the Geek)	caroline	sixteen candles
(points to the Geek)	jake	sixteen candles
(confused but convinced)	caroline	sixteen candles
(sexy coo)	dong	sixteen candles
(into the phone)	geek	sixteen candles
(firmly, manly)	geek	sixteen candles
(amazed)	cliff	sixteen candles
(fondly)	brenda	sixteen candles
(looks at her like she's nuts)	ginny	sixteen candles
(on the verge of tears)	brenda	sixteen candles
(shrugs in agreement)	mike	sixteen candles
(to Howard and Jim)	fred	sixteen candles
(to Brenda)	jim	sixteen candles
(makes a face)	fred	sixteen candles
(sigh of relief, to the others)	howard	sixteen candles
(to Fred)	howard	sixteen candles
(to Dong, firm)	howard	sixteen candles
(acts out driving the car into a lake)	dong	sixteen candles
(baffled)	caroline	sixteen candles
(giggles)	ginny	sixteen candles
(embarrassed)	brenda	sixteen candles
(answers his own questions)	geek	sixteen candles
(pause)	geek	sixteen candles
(surprised)	dong	sixteen candles
(apologetic)	dong	sixteen candles
(impatient)	jake	sixteen candles
(sincere and warm)	sam	sixteen candles
(slurry and high)	ginny	sixteen candles
(whispers)	ginny	sixteen candles
(to the Driver)	jake	sixteen candles
(sighs with relief)	jake	sixteen candles
(voice distorted by the kiss)	caroline	sixteen candles
(timid)	caroline	sixteen candles
(nervous, to Jake)	caroline	sixteen candles
(to the Geek)	caroline	sixteen candles
(nervous chuckle)	caroline	sixteen candles
(embarrassed)	caroline	sixteen candles
(recovers his pride)	jake	sixteen candles
(corrects her)	jake	sixteen candles
(looking at Rudy)	ginny	sixteen candles
(to Rudy)	ginny	sixteen candles
(ignores her)	rudy	sixteen candles
(looks at her dress, whispers)	ginny	sixteen candles
(to Brenda)	jim	sixteen candles
(wipes his nose on his sleeve)	mike	sixteen candles
